Unnamed: 0,image_list,label_list
893,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road02\ColorImage\Record030\Camera 5\170927_071743898_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road02\Label\Record030\Camera 5\170927_071743898_Camera_5_bin.png
684,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road04\ColorImage\Record011\Camera 6\171206_055548435_Camera_6.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road04\Label\Record011\Camera 6\171206_055548435_Camera_6_bin.png
3164,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road04\ColorImage\Record018\Camera 6\171206_061531853_Camera_6.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road04\Label\Record018\Camera 6\171206_061531853_Camera_6_bin.png
10931,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road03\ColorImage\Record016\Camera 6\171206_031844446_Camera_6.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road03\Label\Record016\Camera 6\171206_031844446_Camera_6_bin.png
21084,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road04\ColorImage\Record013\Camera 5\171206_060057876_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road04\Label\Record013\Camera 5\171206_060057876_Camera_5_bin.png
38043,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road02\ColorImage\Record024\Camera 6\170927_071003578_Camera_6.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road02\Label\Record024\Camera 6\170927_071003578_Camera_6_bin.png
13312,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road02\ColorImage\Record023\Camera 6\170927_070753175_Camera_6.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road02\Label\Record023\Camera 6\170927_070753175_Camera_6_bin.png
28089,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road02\ColorImage\Record016\Camera 6\170927_065832644_Camera_6.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road02\Label\Record016\Camera 6\170927_065832644_Camera_6_bin.png
13805,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road04\ColorImage\Record019\Camera 5\171206_061917127_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road04\Label\Record019\Camera 5\171206_061917127_Camera_5_bin.png
13572,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road02\ColorImage\Record023\Camera 5\170927_070752877_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road02\Label\Record023\Camera 5\170927_070752877_Camera_5_bin.png
38436,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road03\ColorImage\Record013\Camera 5\171206_031523156_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road03\Label\Record013\Camera 5\171206_031523156_Camera_5_bin.png
1864,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road02\ColorImage\Record029\Camera 5\170927_071558034_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road02\Label\Record029\Camera 5\170927_071558034_Camera_5_bin.png
2665,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road04\ColorImage\Record013\Camera 5\171206_060103429_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road04\Label\Record013\Camera 5\171206_060103429_Camera_5_bin.png
24815,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road04\ColorImage\Record014\Camera 6\171206_060955604_Camera_6.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road04\Label\Record014\Camera 6\171206_060955604_Camera_6_bin.png
20688,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road04\ColorImage\Record015\Camera 5\171206_061117651_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road04\Label\Record015\Camera 5\171206_061117651_Camera_5_bin.png
12539,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road04\ColorImage\Record018\Camera 6\171206_061430700_Camera_6.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road04\Label\Record018\Camera 6\171206_061430700_Camera_6_bin.png
30205,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road03\ColorImage\Record027\Camera 6\171206_033339399_Camera_6.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road03\Label\Record027\Camera 6\171206_033339399_Camera_6_bin.png
4673,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road02\ColorImage\Record029\Camera 5\170927_071521006_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road02\Label\Record029\Camera 5\170927_071521006_Camera_5_bin.png
26406,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road04\ColorImage\Record013\Camera 5\171206_060536378_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road04\Label\Record013\Camera 5\171206_060536378_Camera_5_bin.png
13128,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road03\ColorImage\Record013\Camera 5\171206_031553418_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road03\Label\Record013\Camera 5\171206_031553418_Camera_5_bin.png
15945,E:\数据集\车道线数据集\Imagedata\Image_data\ColorImage_road04\ColorImage\Record018\Camera 5\171206_061405480_Camera_5.jpg,E:\数据集\车道线数据集\Imagedata\Gray_Label\Label_road04\Label\Record018\Camera 5\171206_061405480_Camera_5_bin.png
